word,partOfSpeech,IPA,meaning,example,exampleForQuiz
(have a) monopoly,noun,/məˈnɑpəli/,độc quyền,The gold barmonopolyis being considered for elimination.,The gold bar_________is being considered for elimination.
ageing,adjective,/ˈeɪˈʤiɪŋ/,"lão hóa, già hóa",Ageingpopulation structure,_______population structure
attitude,noun,/ˈætəˌtud/,"thái độ, quan điểm",Start your day with a positiveattitude.,Start your day with a positive________.
brand,noun,/brænd/,thương hiệu,Personalbrand,Personal_____
compound,verb,/ˈkɑmpaʊnd/,làm cho tệ hơn,His situationcompoundedwhen he lost his job.,His situation___________when he lost his job.
contribute,verb,/kənˈtrɪbjut/,"góp phần, đóng góp",Come to the fundraiser if you want tocontributesomething.,Come to the fundraiser if you want to___________something.
culture,noun,/ˈkʌlʧər/,nền văn hóa,"The more modern society is, the more it should focus on developingculture.","The more modern society is, the more it should focus on developing_______."
current,adjective,/ˈkɜrənt/,thông dụnghiện nay,Currenteducation policy still has many shortcomings.,________education policy still has many shortcomings.
cycle,noun,/ˈsaɪkəl/,"chu kỳ, chu trình",4 seasonscycle,4 seasons_____
decline,verb,/dɪˈklaɪn/,từ chốigiảm xuống,A number of young peopledeclinemotherhoods.,A number of young people________motherhoods.
demographic,adjective,/ˌdɛməˈɡræfɪk/,(thuộc) nhân khẩu học,The majoritydemographicgroup in the countryside is the elderly.,The majority____________group in the countryside is the elderly.
demographics,noun,/ˌdɛməˈɡræfɪks/,nhân khẩu học,Thedemographicsof the city have changed dramatically in months.,The_____________of the city have changed dramatically in months.
development,noun,/dɪˈvɛləpmənt/,sự phát triển,Economicdevelopment,Economic___________
diminish,verb,/dɪˈmɪnɪʃ/,"giảm xuống (kích cỡ, sự ảnh hưởng)",Her influence hasdiminished.,Her influence has__________.
diversity,noun,/dɪˈvɜrsət/i,sự đa dạng,Culturaldiversity,Cultural_________
dominate,verb,/ˈdɑməˌneɪt/,"thống trị, lấn át","After the king’s death, hedominatedthe whole kingdom.","After the king’s death, he__________the whole kingdom."
elderly,adjective,/ˈɛldərli/,"có tuổi, già",Elderlypeople often do not like living in urban areas.,________people often do not like living in urban areas.
ethnic,adjective,/ˈɛθnɪk/,(thuộc) dân tộc,Ethnicorigins,_______origins
ethnicity,noun,/ɛθˈnɪsɪti/,dân tộc,Vietnam has 54 differentethnicities.,Vietnam has 54 different___________.
exotic,adjective,/ɪɡˈzɑtɪk/,"từ bên ngoài, kỳ lạ",Exoticdesigns,_______designs
factor,verb,/ˈfæktər/,"được tính, được xem là 1 nhân tố",It isfactoredinto all investment policies,It is________into all investment policies
global,adjective,/ˈɡloʊbəl/,có tính toàn cầu,GlobalWarming,_______Warming
globalisation/ globalization,noun,/ˌɡloʊbəlɪˈzeɪʃən/ ,toàn cầu hóa,Trends inglobalisation,Trends in_____________
hindsight,noun,/ˈhaɪndˌsaɪt/,sự nhận thức muộn (sau khi sự việc đã xảy ra),"With the timehindsight, I should have booked the earlier flight.","With the time_________, I should have booked the earlier flight."
icon,noun,/ˈaɪkɑn/,biểu tượng,Fashionicon,Fashion____
identity,noun,/aɪˈdɛntəti/,"nét riêng, sự nhận dạng",Culturalidentity,Cultural________
impact,noun,/ˈɪmpækt/,sự tác động,The profitimpactof this deal will be enormous.,The profit_______of this deal will be enormous.
implication,noun,/ˌɪmpləˈkeɪʃən/,sự ẩn ýám chỉ,"From that story, theimplicationwas that she had forgiven him.","From that story, the____________was that she had forgiven him."
increase,noun,/ˈɪnˌkris/,gia tăng,There has been a significantincreasein the number of young people leaving work in the past few months.,There has been a significant_________in the number of young people leaving work in the past few months.
indicate,verb,/ˈɪndəˌkeɪt/,chỉ ra,The dataindicatesa moral decline.,The data__________a moral decline.
industry,noun,/ˈɪndəstri/,nền công nghiệp,Entertainmentindustry,Entertainment________
influence,noun,/ˈɪnfluəns/,ảnh hưởng,Theinfluenceof social networks,The__________of social networks
isolation,noun,/ˌaɪsəˈleɪʃən/,"cô lập, riêng biệt",Many people experienceisolationat work.,Many people experience__________at work.
joint venture,noun,/ʤɔɪnt ˈvɛnʧər/,liên doanhcông ty liên doanh,They decided to enter into ajoint ventureto develop a European restaurant chain.,They decided to enter into a_____________to develop a European restaurant chain.
local,adjective,/ˈloʊkəl/,địa phương,Localpeople,______people
long-term,adjective,/ˈlɔŋˈtɜrm/,dài hạn,Long-termgoals,_________goals
market,noun,/ˈmɑrkət/,thị trường,Real estatemarket,Real estate______
merge,verb,/mɜrʤ/,hợp lại,The subsidiary has beenmergedinto the general company.,The subsidiary has been_______into the general company.
mid-term,adjective,/ˈmɪdˌtɜrm/,giữa kỳ,Mid-termtest,________test
migrate,verb,/ˈmaɪˌɡreɪt/,di cư,Migrateto a safe land,_______to a safe land
modernisation,noun,/ˌmɑdərnəˈzeɪʃən/,hiện đại hóa,The Process of Industrialisation andModernisationin Vietnam,The Process of Industrialisation and_____________in Vietnam
multicultural,adjective,/ˌmʌltiˈkʌlʧərəl/,đa văn hóa,Multiculturalcuisine,______________cuisine
multiculturalism,noun,/ˌmʌltiˈkʌlʧərəlɪzəm/,chủ nghĩa đa văn hóa,Multiculturalismoften appears in large cities that are open to tourism and trade.,_________________often appears in large cities that are open to tourism and trade.
percentage,noun,/pərˈsɛntəʤ/,tỷ lệ phần trăm,Thepercentageof female workers participating in the labor market shows signs of decreasing slightly.,The___________of female workers participating in the labor market shows signs of decreasing slightly.
population,noun,/ˌpɑpjəˈleɪʃən/,dân số,Vietnam’s currentpopulationis more than 98 million people.,Vietnam’s current___________is more than 98 million people.
prediction,noun,priˈdɪkʃən/,sự tiên đoán,Thepredictionabout tomorrow’s meeting seems to be coming true.,The___________about tomorrow’s meeting seems to be coming true.
productive,adjective,/prəˈdʌktɪv/,"năng suất caonhiều, màu mỡ",Productiveemployees,___________employees
projection,noun,/prəˈʤɛkʃən/,dự kiến,Revenue exceededprojection,Revenue exceeded__________
rate,noun,/reɪt/,tỷ lệ (tăng/ giảm),Therateof immigrants in Ho Chi Minh City increased sharply.,The_____of immigrants in Ho Chi Minh City increased sharply.
sceptical/ skeptical,adjective,/ˈskɛptəkəl/,hoài nghi,Many researchers arescepticalabout the existence of extraterrestrial creatures.,Many researchers are__________about the existence of extraterrestrial creatures.
short-term,adjective,/ˈʃɔrtˌtɜrm/,ngắn hạn,Short-termgoals,__________goals
statistics,noun,/stəˈtɪstɪks/,số liệu thống kê,Department ofStatistic,Department of_________
subsequent,adjective,/ˈsʌbsəkwənt/,"tiếp theo, sau đó",The diary recounts the kidnapping and thesubsequentevents.,The diary recounts the kidnapping and the___________events.
trend,noun,/trɛnd/,xu hướng,Global vegetarian foodtrends,Global vegetarian food______
wealthy,adjective,/ˈwɛlθi/,giàu có (về vật chất),Awealthycountry,A________country
worldwide,adjective,/ˈwɜrlˈdwaɪd/,trên toàn thế giới,Worldwidereputation,__________reputation
